date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:32	77010/77010	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Aug%202025%2016:17:33%20GMT	https://www.fuzulev.com.tr/iletisim	C:/a/httrack/CloneSites/fuzulev/fuzulev/www.fuzulev.com.tr/iletisim.html	(from https://www.fuzulev.com.tr/)
19:17:33	67668/67668	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Aug%202025%2016:17:33%20GMT	https://www.fuzulev.com.tr/subelerimiz	C:/a/httrack/CloneSites/fuzulev/fuzulev/www.fuzulev.com.tr/subelerimiz.html	(from https://www.fuzulev.com.tr/)
19:17:33	60738/60738	---MCZ	200	added ('OK')	text/html	date:Sat,%2002%20Aug%202025%2016:17:34%20GMT	https://www.fuzulev.com.tr/kurumsal	C:/a/httrack/CloneSites/fuzulev/fuzulev/www.fuzulev.com.tr/kurumsal.html	(from https://www.fuzulev.com.tr/)
19:17:33	1247/1247	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2026%20Oct%202022%2010:13:57%20GMT	https://www.fuzulev.com.tr/assets/images/icons/question-icon.svg	C:/a/httrack/CloneSites/fuzulev/fuzulev/www.fuzulev.com.tr/assets/images/icons/question-icon.svg	(from https://www.fuzulev.com.tr/)
19:17:34	1737/1737	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2026%20Oct%202022%2010:13:56%20GMT	https://www.fuzulev.com.tr/assets/images/icons/phone-bold.svg	C:/a/httrack/CloneSites/fuzulev/fuzulev/www.fuzulev.com.tr/assets/images/icons/phone-bold.svg	(from https://www.fuzulev.com.tr/)
19:17:34	999/999	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2026%20Oct%202022%2010:13:57%20GMT	https://www.fuzulev.com.tr/assets/images/icons/document.svg	C:/a/httrack/CloneSites/fuzulev/fuzulev/www.fuzulev.com.tr/assets/images/icons/document.svg	(from https://www.fuzulev.com.tr/)
19:17:34	1440/1440	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2026%20Oct%202022%2010:13:56%20GMT	https://www.fuzulev.com.tr/assets/images/icons/subeler.svg	C:/a/httrack/CloneSites/fuzulev/fuzulev/www.fuzulev.com.tr/assets/images/icons/subeler.svg	(from https://www.fuzulev.com.tr/)
19:17:34	78394/78394	---M--	200	added ('OK')	image/webp	date:Fri,%2011%20Jul%202025%2005:23:22%20GMT	https://www.fuzulev.com.tr/assets/uploads/slides/2025/07/1752211402_595.webp	C:/a/httrack/CloneSites/fuzulev/fuzulev/www.fuzulev.com.tr/assets/uploads/slides/2025/07/1752211402_595.webp	(from https://www.fuzulev.com.tr/)
19:17:34	86910/86910	---M--	200	added ('OK')	image/webp	date:Fri,%2011%20Jul%202025%2005:23:46%20GMT	https://www.fuzulev.com.tr/assets/uploads/slides/2025/07/1752211426_756.webp	C:/a/httrack/CloneSites/fuzulev/fuzulev/www.fuzulev.com.tr/assets/uploads/slides/2025/07/1752211426_756.webp	(from https://www.fuzulev.com.tr/)
19:17:35	82684/82684	---M--	200	added ('OK')	image/webp	date:Fri,%2011%20Jul%202025%2005:24:08%20GMT	https://www.fuzulev.com.tr/assets/uploads/slides/2025/07/1752211448_389.webp	C:/a/httrack/CloneSites/fuzulev/fuzulev/www.fuzulev.com.tr/assets/uploads/slides/2025/07/1752211448_389.webp	(from https://www.fuzulev.com.tr/)
